allegheny	allow	mono	31442
allegheny	allow	multi	32994
allegheny	allow	serial	32463
allegheny	deny	mono	162174
allegheny	deny	multi	44196
allegheny	deny	serial	60183
arizona	allow	mono	180734
arizona	allow	multi	127069
arizona	allow	serial	101616
arizona	deny	mono	967066
arizona	deny	multi	266034
arizona	deny	serial	384505
asu	allow	mono	183991
asu	allow	multi	112261
asu	allow	serial	95641
asu	deny	mono	944372
asu	deny	multi	233065
asu	deny	serial	402546
baylor	allow	mono	151259
baylor	allow	multi	125984
baylor	allow	serial	92373
baylor	deny	mono	369630
baylor	deny	multi	126229
baylor	deny	serial	224474
bc	allow	mono	132807
bc	allow	multi	110667
bc	allow	serial	73145
bc	deny	mono	545196
bc	deny	multi	153733
bc	deny	serial	224775
berkeley	allow	mono	639812
berkeley	allow	multi	452739
berkeley	allow	serial	145844
berkeley	deny	mono	2381055
berkeley	deny	multi	1001707
berkeley	deny	serial	718266
brandeis	allow	mono	80683
brandeis	allow	multi	74077
brandeis	allow	serial	37073
brandeis	deny	mono	418512
brandeis	deny	multi	118861
brandeis	deny	serial	172996
brown	allow	mono	259385
brown	allow	multi	226285
brown	allow	serial	125451
brown	deny	mono	739810
brown	deny	multi	272724
brown	deny	serial	411053
bu	allow	mono	89540
bu	allow	multi	73764
bu	allow	serial	50462
bu	deny	mono	456331
bu	deny	multi	140586
bu	deny	serial	214291
calgary	allow	mono	6526
calgary	allow	multi	9136
calgary	allow	serial	10965
calgary	deny	mono	47132
calgary	deny	multi	18117
calgary	deny	serial	43623
chi	allow	mono	436733
chi	allow	multi	321453
chi	allow	serial	176255
chi	deny	mono	1568395
chi	deny	multi	471270
chi	deny	serial	566564
cmu	allow	mono	30789
cmu	allow	multi	41156
cmu	allow	serial	33670
cmu	deny	mono	275732
cmu	deny	multi	89373
cmu	deny	serial	172707
colby	allow	mono	46718
colby	allow	multi	35957
colby	allow	serial	17574
colby	deny	mono	194249
colby	deny	multi	49304
colby	deny	serial	42498
columbia	allow	mono	432419
columbia	allow	multi	295604
columbia	allow	serial	179675
columbia	deny	mono	1605361
columbia	deny	multi	465364
columbia	deny	serial	581972
cornell	allow	mono	420364
cornell	allow	multi	328718
cornell	allow	serial	236009
cornell	deny	mono	1713728
cornell	deny	multi	574022
cornell	deny	serial	733246
dart	allow	mono	233619
dart	allow	multi	127579
dart	allow	serial	91240
dart	deny	mono	599404
dart	deny	multi	150274
dart	deny	serial	253908
duke	allow	mono	375795
duke	allow	multi	306443
duke	allow	serial	191151
duke	deny	mono	1078517
duke	deny	multi	397714
duke	deny	serial	594258
emory	allow	mono	149924
emory	allow	multi	113770
emory	allow	serial	73738
emory	deny	mono	707560
emory	deny	multi	193657
emory	deny	serial	352771
fsu	allow	mono	139591
fsu	allow	multi	133993
fsu	allow	serial	130644
fsu	deny	mono	654938
fsu	deny	multi	234491
fsu	deny	serial	415839
getty	allow	mono	22537
getty	allow	multi	32929
getty	allow	serial	21298
getty	deny	mono	122815
getty	deny	multi	48905
getty	deny	serial	75898
harvard	allow	mono	722605
harvard	allow	multi	519223
harvard	allow	serial	240783
harvard	deny	mono	2057418
harvard	deny	multi	700190
harvard	deny	serial	784044
iastate	allow	mono	118938
iastate	allow	multi	107857
iastate	allow	serial	118309
iastate	deny	mono	624470
iastate	deny	multi	193648
iastate	deny	serial	327859
ind	allow	mono	299793
ind	allow	multi	250103
ind	allow	serial	137446
ind	deny	mono	1258456
ind	deny	multi	390994
ind	deny	serial	550279
iowa	allow	mono	284832
iowa	allow	multi	192100
iowa	allow	serial	157571
iowa	deny	mono	1003396
iowa	deny	multi	274210
iowa	deny	serial	526522
jhu	allow	mono	71812
jhu	allow	multi	51141
jhu	allow	serial	52469
jhu	deny	mono	215592
jhu	deny	multi	46618
jhu	deny	serial	159253
ksu	allow	mono	168519
ksu	allow	multi	131573
ksu	allow	serial	125164
ksu	deny	mono	526520
ksu	deny	multi	170371
ksu	deny	serial	327055
ku	allow	mono	302718
ku	allow	multi	244614
ku	allow	serial	154262
ku	deny	mono	915485
ku	deny	multi	343941
ku	deny	serial	517798
lafayette	allow	mono	46595
lafayette	allow	multi	55977
lafayette	allow	serial	37123
lafayette	deny	mono	203823
lafayette	deny	multi	65111
lafayette	deny	serial	105615
loc	allow	mono	519952
loc	allow	multi	304611
loc	allow	serial	167688
loc	deny	mono	2275062
loc	deny	multi	640589
loc	deny	serial	730075
mcgill	allow	mono	123477
mcgill	allow	multi	103887
mcgill	allow	serial	67413
mcgill	deny	mono	738085
mcgill	deny	multi	203270
mcgill	deny	serial	311244
miami	allow	mono	139396
miami	allow	multi	77724
miami	allow	serial	51419
miami	deny	mono	424210
miami	deny	multi	81089
miami	deny	serial	85979
minn	allow	mono	391327
minn	allow	multi	285731
minn	allow	serial	242063
minn	deny	mono	1101271
minn	deny	multi	367612
minn	deny	serial	621932
missouri	allow	mono	251039
missouri	allow	multi	215683
missouri	allow	serial	176967
missouri	deny	mono	691711
missouri	deny	multi	233316
missouri	deny	serial	462462
mit	allow	mono	94207
mit	allow	multi	84927
mit	allow	serial	87503
mit	deny	mono	465869
mit	deny	multi	161331
mit	deny	serial	319494
msu	allow	mono	246388
msu	allow	multi	217826
msu	allow	serial	136651
msu	deny	mono	960288
msu	deny	multi	313627
msu	deny	serial	497388
nccu	allow	mono	19368
nccu	allow	multi	18335
nccu	allow	serial	29958
nccu	deny	mono	105844
nccu	deny	multi	39294
nccu	deny	serial	58869
ncsu	allow	mono	144894
ncsu	allow	multi	105481
ncsu	allow	serial	98698
ncsu	deny	mono	552666
ncsu	deny	multi	169762
ncsu	deny	serial	307516
nd	allow	mono	196559
nd	allow	multi	174036
nd	allow	serial	104875
nd	deny	mono	661223
nd	deny	multi	221211
nd	deny	serial	360787
nwu	allow	mono	269059
nwu	allow	multi	204731
nwu	allow	serial	142491
nwu	deny	mono	811191
nwu	deny	multi	272153
nwu	deny	serial	398166
nypl	allow	mono	529197
nypl	allow	multi	392015
nypl	allow	serial	133546
nypl	deny	mono	796568
nypl	deny	multi	215851
nypl	deny	serial	248432
nyu	allow	mono	153246
nyu	allow	multi	104969
nyu	allow	serial	57723
nyu	deny	mono	862697
nyu	deny	multi	209759
nyu	deny	serial	295439
osu	allow	mono	255809
osu	allow	multi	205123
osu	allow	serial	188168
osu	deny	mono	1069762
osu	deny	multi	353007
osu	deny	serial	584803
ou	allow	mono	221002
ou	allow	multi	176977
ou	allow	serial	126908
ou	deny	mono	534689
ou	deny	multi	193969
ou	deny	serial	375943
pitt	allow	mono	155733
pitt	allow	multi	107970
pitt	allow	serial	117663
pitt	deny	mono	935654
pitt	deny	multi	266522
pitt	deny	serial	387772
prnc	allow	mono	401395
prnc	allow	multi	347658
prnc	allow	serial	150419
prnc	deny	mono	1265410
prnc	deny	multi	398134
prnc	deny	serial	521779
psu	allow	mono	200002
psu	allow	multi	152743
psu	allow	serial	97742
psu	deny	mono	836800
psu	deny	multi	207981
psu	deny	serial	299612
purd	allow	mono	153890
purd	allow	multi	136552
purd	allow	serial	130086
purd	deny	mono	496793
purd	deny	multi	168440
purd	deny	serial	322720
stanford	allow	mono	358741
stanford	allow	multi	265078
stanford	allow	serial	211597
stanford	deny	mono	1345618
stanford	deny	multi	459857
stanford	deny	serial	675703
syr	allow	mono	129428
syr	allow	multi	133735
syr	allow	serial	114828
syr	deny	mono	627888
syr	deny	multi	199399
syr	deny	serial	375326
tamu	allow	mono	181934
tamu	allow	multi	137356
tamu	allow	serial	121147
tamu	deny	mono	698516
tamu	deny	multi	213367
tamu	deny	serial	414010
temple	allow	mono	98710
temple	allow	multi	82147
temple	allow	serial	82602
temple	deny	mono	616855
temple	deny	multi	157326
temple	deny	serial	258088
tufts	allow	mono	61259
tufts	allow	multi	64185
tufts	allow	serial	49267
tufts	deny	mono	321054
tufts	deny	multi	105426
tufts	deny	serial	185762
ua	allow	mono	194157
ua	allow	multi	150578
ua	allow	serial	118005
ua	deny	mono	508506
ua	deny	multi	149199
ua	deny	serial	285543
ualberta	allow	mono	126498
ualberta	allow	multi	93519
ualberta	allow	serial	92220
ualberta	deny	mono	888429
ualberta	deny	multi	205054
ualberta	deny	serial	429248
ubc	allow	mono	60694
ubc	allow	multi	40138
ubc	allow	serial	11617
ubc	deny	mono	203802
ubc	deny	multi	61763
ubc	deny	serial	79157
ucdavis	allow	mono	136546
ucdavis	allow	multi	110362
ucdavis	allow	serial	98561
ucdavis	deny	mono	708810
ucdavis	deny	multi	203504
ucdavis	deny	serial	339648
uci	allow	mono	91199
uci	allow	multi	82691
uci	allow	serial	91803
uci	deny	mono	704016
uci	deny	multi	200127
uci	deny	serial	330476
ucla	allow	mono	458503
ucla	allow	multi	326021
ucla	allow	serial	190120
ucla	deny	mono	1726030
ucla	deny	multi	595167
ucla	deny	serial	722519
ucmerced	allow	mono	1051
ucmerced	allow	multi	613
ucmerced	allow	serial	97
ucmerced	deny	mono	32772
ucmerced	deny	multi	4455
ucmerced	deny	serial	1577
uconn	allow	mono	137512
uconn	allow	multi	141172
uconn	allow	serial	92342
uconn	deny	mono	564315
uconn	deny	multi	201454
uconn	deny	serial	339833
ucr	allow	mono	135168
ucr	allow	multi	114713
ucr	allow	serial	92902
ucr	deny	mono	560715
ucr	deny	multi	169052
ucr	deny	serial	279589
ucsb	allow	mono	113538
ucsb	allow	multi	82181
ucsb	allow	serial	85951
ucsb	deny	mono	567071
ucsb	deny	multi	173717
ucsb	deny	serial	334196
ucsc	allow	mono	35704
ucsc	allow	multi	61944
ucsc	allow	serial	67169
ucsc	deny	mono	371337
ucsc	deny	multi	142773
ucsc	deny	serial	242260
ucsd	allow	mono	95861
ucsd	allow	multi	103729
ucsd	allow	serial	91924
ucsd	deny	mono	618495
ucsd	deny	multi	262319
ucsd	deny	serial	321412
ucsf	allow	mono	22798
ucsf	allow	multi	16030
ucsf	allow	serial	26545
ucsf	deny	mono	110471
ucsf	deny	multi	42060
ucsf	deny	serial	104570
udel	allow	mono	140338
udel	allow	multi	88386
udel	allow	serial	84632
udel	deny	mono	580407
udel	deny	multi	94483
udel	deny	serial	257494
ufl	allow	mono	258256
ufl	allow	multi	219398
ufl	allow	serial	154095
ufl	deny	mono	787335
ufl	deny	multi	277630
ufl	deny	serial	504572
uh	allow	mono	148622
uh	allow	multi	120861
uh	allow	serial	79583
uh	deny	mono	572197
uh	deny	multi	176035
uh	deny	serial	329682
uic	allow	mono	140153
uic	allow	multi	79500
uic	allow	serial	74200
uic	deny	mono	617223
uic	deny	multi	160383
uic	deny	serial	308008
uiuc	allow	mono	462622
uiuc	allow	multi	265951
uiuc	allow	serial	142560
uiuc	deny	mono	1520631
uiuc	deny	multi	357809
uiuc	deny	serial	396625
umass	allow	mono	143597
umass	allow	multi	127649
umass	allow	serial	101501
umass	deny	mono	727262
umass	deny	multi	224092
umass	deny	serial	331213
umd	allow	mono	154279
umd	allow	multi	135785
umd	allow	serial	108152
umd	deny	mono	779380
umd	deny	multi	230292
umd	deny	serial	366386
unc	allow	mono	332741
unc	allow	multi	266866
unc	allow	serial	177009
unc	deny	mono	1191752
unc	deny	multi	362629
unc	deny	serial	540963
unl	allow	mono	260277
unl	allow	multi	224369
unl	allow	serial	164914
unl	deny	mono	658886
unl	deny	multi	241561
unl	deny	serial	410455
uom	allow	mono	606678
uom	allow	multi	376330
uom	allow	serial	450258
uom	deny	mono	2683120
uom	deny	multi	727761
uom	deny	serial	1282086
upenn	allow	mono	253921
upenn	allow	multi	232381
upenn	allow	serial	154925
upenn	deny	mono	1165210
upenn	deny	multi	386409
upenn	deny	serial	492260
uq	allow	mono	16859
uq	allow	multi	29432
uq	allow	serial	30541
uq	deny	mono	253252
uq	deny	multi	80457
uq	deny	serial	183688
usu	allow	mono	130511
usu	allow	multi	45642
usu	allow	serial	91
usu	deny	mono	298297
usu	deny	multi	52083
usu	deny	serial	657
utah	allow	mono	62651
utah	allow	multi	51433
utah	allow	serial	31918
utah	deny	mono	610620
utah	deny	multi	116301
utah	deny	serial	144960
utk	allow	mono	137111
utk	allow	multi	126842
utk	allow	serial	119697
utk	deny	mono	626572
utk	deny	multi	178038
utk	deny	serial	345986
uva	allow	mono	343194
uva	allow	multi	279495
uva	allow	serial	160731
uva	deny	mono	1014242
uva	deny	multi	335183
uva	deny	serial	504821
uvm	allow	mono	78803
uvm	allow	multi	73766
uvm	allow	serial	44895
uvm	deny	mono	377943
uvm	deny	multi	115116
uvm	deny	serial	234044
vanderbilt	allow	mono	159797
vanderbilt	allow	multi	148524
vanderbilt	allow	serial	115626
vanderbilt	deny	mono	541515
vanderbilt	deny	multi	207882
vanderbilt	deny	serial	342764
vt	allow	mono	90490
vt	allow	multi	103563
vt	allow	serial	101314
vt	deny	mono	504349
vt	deny	multi	161235
vt	deny	serial	286040
washington	allow	mono	280554
washington	allow	multi	236227
washington	allow	serial	188981
washington	deny	mono	1301984
washington	deny	multi	445462
washington	deny	serial	706197
wfu	allow	mono	67755
wfu	allow	multi	59336
wfu	allow	serial	33779
wfu	deny	mono	393350
wfu	deny	multi	109862
wfu	deny	serial	175642
wisc	allow	mono	548972
wisc	allow	multi	396407
wisc	allow	serial	229047
wisc	deny	mono	1830285
wisc	deny	multi	596588
wisc	deny	serial	741055
wustl	allow	mono	211081
wustl	allow	multi	199539
wustl	allow	serial	112052
wustl	deny	mono	695846
wustl	deny	multi	279388
wustl	deny	serial	380321
yale	allow	mono	438879
yale	allow	multi	305796
yale	allow	serial	213939
yale	deny	mono	1576803
yale	deny	multi	447238
yale	deny	serial	673508
