allegheny,264440,16417,3068,264352,16090,3066,193616,77190,92646
arizona,2665190,316665,77730,2491557,122455,76334,1147800,393103,486121
asu,2561905,318314,59302,2210400,109817,59233,1128363,345326,498187
baylor,1132855,103578,37745,968741,48449,37409,520889,252213,316847
bc,1763995,271162,332496,1410053,63865,32235,678003,264400,297920
berkeley,5377614,1542189,223090,4658064,619140,222682,3020867,1454446,864110
brandeis,814387,128340,14027,814033,55255,13987,499195,192938,210069
brown,1909455,158143,51870,1747787,153995,48236,999195,499009,536504
bu,970859,64241,16205,957562,63636,15976,545871,214350,264753
calgary,285337,3242,4863,285050,3238,4853,53658,27253,54588
chi,5130308,842174,1828713,4281886,183695,148783,2005128,792723,742819
cmu,692162,22941,9954,691950,22912,9940,306521,130529,206377
colby,400725,16375,3266,400385,16344,3256,240967,85261,60072
columbia,5350949,874431,144938,4592041,307221,143772,2037780,760968,761647
cornell,4860996,948442,182770,4289029,321932,181458,2134092,902740,969255
dart,1565268,70590,29753,1466190,69471,29388,833023,277853,345148
duke,3312503,330201,143247,2891895,125362,143065,1454312,704157,785409
emory,2102462,292515,667094,1798049,57742,47961,857484,307427,426509
fsu,1616683,78651,263004,1484196,54351,66410,794529,368484,546483
getty,757875,38979,17346,722615,13920,17338,145352,81834,97196
harvard,11905197,782098,361379,9696596,312142,357031,2780023,1219413,1024827
iastate,1393033,46155,40867,1392815,46144,40856,743408,301505,446168
ind,3489987,616197,103784,3148595,210335,101311,1558249,641097,687725
iowa,3396678,2199789,1529672,2499645,148669,70956,1288228,466310,684093
jhu,682178,45303,17750,623113,23162,17028,287404,97759,211722
ksu,1569482,63389,48509,1170203,47123,48291,695039,301944,452219
ku,2827447,159373,116418,2824982,159310,116398,1218203,588555,672060
lafayette,370108,43775,6255,355981,16260,6253,250418,121088,142738
loc,9412284,193576,488834,9412283,193576,488833,2795014,945200,897763
mcgill,2067726,414716,51548,1875489,130873,51057,861562,307157,378657
miami,1323843,171451,23989,1235830,69919,23385,563606,158813,137398
minn,3110590,646786,118458,2746878,200545,115755,1492598,653343,863995
missouri,1689461,190103,67979,1543387,80719,67967,942750,448999,639429
mit,1416403,95416,61176,1246038,79160,61163,560076,246258,406997
msu,2407810,96213,132140,2407008,94783,115706,1206676,531453,634039
nccu,239716,16793,8282,192525,6450,8251,125212,57629,88827
ncsu,1398749,198841,38745,1258237,94624,38582,697560,275243,406214
nd,1856489,127282,43232,1846872,126819,43193,857782,395247,465662
nwu,2255126,393515,79967,2133705,134330,78362,1080250,476884,540657
nypl,3757643,351783,199798,3691617,276390,1988115,1325765,607866,381978
nyu,2441239,409236,41618,2238182,124357,41392,1015943,314728,353162
osu,3065811,1207942,1025047,2304588,337269,127642,1325571,558130,772971
ou,1858474,60972,71721,1826661,60311,69090,755691,370946,502851
pitt,3116337,311111,25483,2147210,74085,23149,1091387,374492,505435
prnc,3510315,132203,85570,3482193,130760,84007,1666805,745792,672198
psu,3309973,243984,60943,2122256,62334,59456,1036802,360724,397354
purd,1123339,118046,54158,1030938,56469,48802,650683,304992,452806
stanford,4744305,881585,234905,4549917,314486,222883,1704359,724935,887300
syr,1280271,208139,52633,1212801,86408,51209,757316,333134,490154
tamu,2293216,381888,76668,2032344,104556,71586,880450,350723,535157
temple,1670237,109794,33933,1409779,41876,33604,715565,239473,340690
tufts,756759,66445,13722,676072,23904,13713,382313,169611,235029
ua,1404642,193465,54701,1256300,77352,45556,702663,299777,403548
ualberta,3030894,563915,1457877,2508726,127445,78212,1014927,298573,521468
ubc,556429,115023,11892,542813,42215,11848,264496,101901,90774
ucdavis,1579367,241686,63332,1502384,99136,56973,845356,313866,438209
uci,1476102,214307,39048,1419067,78384,38985,795215,282818,422279
ucla,5785912,1013622,168010,4731206,303754,146585,2184533,921188,912639
ucmerced,95723,4755,136,94737,2132,133,33823,5068,1674
uconn,1143073,60318,42503,1132234,60014,42341,701827,342626,432175
ucr,1399380,87706,38303,1387327,87144,38018,695883,283765,372491
ucsb,1393871,215097,51788,1345172,73146,51509,680609,255898,420147
ucsc,724758,99049,18314,695194,44845,18310,407041,204717,309429
ucsd,1343191,235703,43714,1268745,82911,41186,714356,366048,413336
ucsf,220706,43845,11349,218495,19012,10708,133269,58090,131115
udel,1343920,73605,37457,1300956,34744,37013,720745,182869,342126
ufl,2197287,103352,109367,2144347,90960,104129,1045591,497028,658667
uh,1631721,241370,37756,1376492,79852,37742,720819,296896,409265
uic,1485974,160210,23818,1341931,67591,23794,757376,239883,382208
uiuc,4877247,788905,1952196,4390718,167247,140477,1983253,623760,539185
umass,1539288,54160,34327,1537391,53849,34267,870859,351741,432714
umd,2277036,186951,55697,1882715,69584,55692,933659,366077,474538
unc,3818821,608835,117761,3291674,193343,117725,1524493,629495,717972
unl,2366098,189128,104851,2029762,80359,100400,919163,465930,575369
uom,5269404,929494,189824,4596599,281159,183762,3289798,1104091,1732344
upenn,3214647,245297,71363,2843287,206938,70655,1419131,618790,647185
uq,916726,112203,35424,715414,33781,35246,270111,109889,214229
usu,925221,34988,0,897129,33826,0,428808,97725,748
utah,1369125,31845,16733,1327763,30627,16038,673271,167734,176878
utk,1288250,192548,38603,1284806,71823,38428,763683,304880,465683
uva,2887717,421667,93247,2679383,171524,88276,1357436,614678,665552
uvm,782733,195590,9773,761234,52123,9699,456746,188882,278939
vanderbilt,1349393,275729,38622,1244380,112676,38554,701312,356406,458390
vt,1120386,69546,42543,1120344,55069,42538,594839,264798,387354
washington,3745171,371409,131833,3051335,135297,131830,1582538,681689,895178
wfu,783264,51560,14206,777737,51148,14167,461105,169198,209421
wisc,4897377,235790,255222,4871801,201998,255151,2379257,992995,970102
wustl,1543844,113881,49450,1543462,113855,49415,906927,478927,492373
yale,5651497,436662,234444,4758068,148056,232105,2015682,753034,887447